id,firstname,lastname,email,Campus,Promo,Origine,Recrut_salon,moyenne,Abandon,contrat,ecole_origine,entreprise,duree_recrutement
709,Merci,Viddah,Merci.Viddah@supinfo.com,montpellier,2016,"Cote D""Ivoire",NO,6,no,contrat pro,Los Angeles,oracle,8
710,Lacie,Nelsen,Lacie.Nelsen@supinfo.com,paris,2016,Bahamas,NO,7,no,"stage ",Rio Branco,orange,9
711,Zondra,Modie,Zondra.Modie@supinfo.com,nantes,2016,Lithuania,YES,16,"yes ","stage ",Hangzhou,orange,8
712,Beatriz,Sheedy,Beatriz.Sheedy@supinfo.com,nantes,2016,Belgium,YES,8,no,contrat pro,Roseau,expanscience,10
713,Evaleen,Azeria,Evaleen.Azeria@supinfo.com,montpellier,2020,India,YES,13,"yes ","stage ",Havana,oracle,5
714,Lory,Maribeth,Lory.Maribeth@supinfo.com,toulouse,2021,Latvia,YES,7,no,N/A,Dodoma,total,2
715,Jaime,Cloris,Jaime.Cloris@supinfo.com,tours,2018,Mali,NO,16,no,contrat pro,Bogotá,,7
716,Addia,Meter,Addia.Meter@supinfo.com,nantes,2021,Congo,NO,17,no,"stage ",Belfast,expanscience,1
717,Corly,Gower,Corly.Gower@supinfo.com,tours,2019,Anguilla,YES,4,"yes ",contrat pro,Cardiff,orange,10
718,Philis,Quinn,Philis.Quinn@supinfo.com,montpellier,2018,Senegal,NO,8,no,"alternance ",Bangalore,oracle,6
719,Marline,Margret,Marline.Margret@supinfo.com,tours,2018,Senegal,NO,15,no,contrat pro,Reykjavík,google,3
720,Flo,Natalia,Flo.Natalia@supinfo.com,toulouse,2019,Gabon,NO,15,no,"stage ",Kuwait City,total,7
721,Mignon,Sandye,Mignon.Sandye@supinfo.com,tour,2021,Guadeloupe,YES,16,"yes ",N/A,Kharkiv,expanscience,7
722,Ayn,Hunfredo,Ayn.Hunfredo@supinfo.com,lyon,2018,Morocco,YES,11,"yes ","stage ",Phuket (city),bnp,2
723,Tobe,Nicoline,Tobe.Nicoline@supinfo.com,paris,2018,Singapore,YES,5,"yes ","alternance ",Kota Kinabalu,ascenci,3
724,Reeba,Hull,Reeba.Hull@supinfo.com,toulouse,2019,Benin,NO,8,"yes ",contrat pro,Vienna,expanscience,9
725,Fredericka,Vastah,Fredericka.Vastah@supinfo.com,toulouse,2021,Solomon Islands,NO,3,no,contrat pro,George Town,oracle,8
726,Myrtice,Lane,Myrtice.Lane@supinfo.com,lyon,2021,Czech Republic,NO,5,"yes ",contrat pro,Da Nang,,4
727,Kaia,Han,Kaia.Han@supinfo.com,paris,2021,Sudan,NO,12,"yes ","stage ",Dhaka,capgemini,10
728,Elfreda,Persse,Elfreda.Persse@supinfo.com,nantes,2017,Uruguay,YES,15,no,"alternance ",Gold Coast,,8
729,Tersina,Cecile,Tersina.Cecile@supinfo.com,nantes,2018,Lebanon,YES,8,"yes ",contrat pro,Ashgabat,orange,4
730,Marika,Fiann,Marika.Fiann@supinfo.com,tour,2017,Greece,YES,17,no,N/A,Yakutsk,capgemini,6
731,Deedee,Roarke,Deedee.Roarke@supinfo.com,lille,2019,Colombia,YES,9,no,contrat pro,Tartu,,8
732,Noelle,Gower,Noelle.Gower@supinfo.com,paris,2017,Italy,YES,4,no,"stage ",Kanpur,google,1
733,Shirlee,Shaddock,Shirlee.Shaddock@supinfo.com,lille,2020,Mali,NO,5,no,contrat pro,Antwerp,orange,9
734,Marjie,Niccolo,Marjie.Niccolo@supinfo.com,tours,2016,Turks and Caicos Islands,NO,15,no,contrat pro,Zapopan,bnp,1
735,Genovera,Kenwood,Genovera.Kenwood@supinfo.com,toulouse,2020,Angola,NO,4,"yes ",contrat pro,Salzburg,capgemini,6
736,Nariko,Iaverne,Nariko.Iaverne@supinfo.com,lyon,2016,Singapore,YES,8,"yes ","stage ",Louisville,orange,9
737,Karolina,Thilda,Karolina.Thilda@supinfo.com,toulouse,2016,Cape Verde,YES,14,no,N/A,Nagoya,bnp,10
738,Roslyn,Karylin,Roslyn.Karylin@supinfo.com,lyon,2019,Burundi,YES,18,"yes ",contrat pro,Quezon City,orange,6
739,Netty,Autrey,Netty.Autrey@supinfo.com,tours,2018,Poland,YES,16,no,N/A,Tijuana,ascenci,7
740,Kimberley,Tristram,Kimberley.Tristram@supinfo.com,montpellier,2020,France,NO,3,no,"stage ",Osaka,bnp,3
741,Carlie,Mallon,Carlie.Mallon@supinfo.com,tours,2016,Cameroon,NO,5,"yes ",N/A,Davao City,capgemini,2
742,Gwyneth,Bonilla,Gwyneth.Bonilla@supinfo.com,toulouse,2020,Gibraltar,NO,10,"yes ","alternance ",Louisville,capgemini,3
743,Adele,Tengdin,Adele.Tengdin@supinfo.com,paris,2019,Slovakia,YES,18,no,contrat pro,Sabha,expanscience,4
744,Jessamyn,Lattie,Jessamyn.Lattie@supinfo.com,montpellier,2017,Egypt,YES,13,no,N/A,Chaguanas,bnp,2
745,Fanchon,Guthrie,Fanchon.Guthrie@supinfo.com,nantes,2019,Tajikistan,YES,18,"yes ",N/A,Lobamba,total,4
746,Celestyna,Lanita,Celestyna.Lanita@supinfo.com,toulouse,2019,Madagascar,YES,3,"yes ",contrat pro,Oklahoma City,ascenci,6
747,Nerta,Morrill,Nerta.Morrill@supinfo.com,lille,2019,Suriname,NO,5,no,N/A,Omdurman,societe generale,6
748,Arabel,Alcott,Arabel.Alcott@supinfo.com,nantes,2018,Czech Republic,YES,7,no,"stage ",Kingstown,total,4
749,Andeee,Urias,Andeee.Urias@supinfo.com,tours,2021,Togo,NO,18,"yes ",N/A,Ponta Delgada,javista,3
750,Juliane,Graig,Juliane.Graig@supinfo.com,nantes,2017,Bhutan,YES,7,"yes ",N/A,Gaborone,bouyges,5
751,Marcelline,Chabot,Marcelline.Chabot@supinfo.com,montpellier,2021,Nicaragua,YES,7,no,"stage ",Konya,bnp,2
752,Claresta,Artie,Claresta.Artie@supinfo.com,nantes,2018,Timor-Leste,NO,18,"yes ","alternance ",Minsk,societe generale,1
753,Hollie,Estella,Hollie.Estella@supinfo.com,tours,2016,Kuwait,NO,5,no,"stage ",Stanley,javista,1
754,Frank,Yusuk,Frank.Yusuk@supinfo.com,lille,2016,Argentina,YES,5,no,contrat pro,Cincinnati,javista,7
755,Beverley,Hachmin,Beverley.Hachmin@supinfo.com,toulouse,2021,El Salvador,YES,14,no,"stage ",Linz,,9
756,Margette,Leopold,Margette.Leopold@supinfo.com,nantes,2016,France,NO,5,"yes ","stage ",City of San Marino,societe generale,8
757,Feliza,Fadiman,Feliza.Fadiman@supinfo.com,lyon,2018,Congo,NO,4,"yes ","stage ",Sapporo,,8
758,Abbie,Lutero,Abbie.Lutero@supinfo.com,tours,2020,Liberia,NO,13,no,"stage ",Kyoto,total,1
759,Ezmeralda,Clywd,Ezmeralda.Clywd@supinfo.com,nantes,2021,Faroe Islands,NO,4,"yes ",contrat pro,Espoo,bnp,10
760,Mariann,Claudine,Mariann.Claudine@supinfo.com,lyon,2021,Malaysia,YES,10,no,N/A,Alexandria,google,7
761,Gabriellia,Zaslow,Gabriellia.Zaslow@supinfo.com,nantes,2021,Bahrain,YES,7,no,N/A,Petropavlovsk-Kamchatsky,expanscience,10
762,Atlanta,Heisel,Atlanta.Heisel@supinfo.com,nantes,2016,Montserrat,NO,18,no,contrat pro,Honiara,orange,4
763,Sean,Plato,Sean.Plato@supinfo.com,lyon,2020,Croatia,YES,8,no,N/A,St. Louis,expanscience,3
764,Natka,Izaak,Natka.Izaak@supinfo.com,toulouse,2016,Botswana,YES,10,no,N/A,Nakhon Ratchasima,orange,8
765,Hermione,Brotherson,Hermione.Brotherson@supinfo.com,montpellier,2021,Cayman Islands,YES,10,no,contrat pro,San Antonio,societe generale,9
766,Joceline,Freddi,Joceline.Freddi@supinfo.com,lille,2018,Bolivia,YES,18,no,"stage ",Tel Aviv,total,5
767,Ermengarde,Chrystel,Ermengarde.Chrystel@supinfo.com,tour,2018,Saint Kitts and Nevis,NO,8,no,contrat pro,Lagos,,2
768,Estell,Melan,Estell.Melan@supinfo.com,lyon,2016,Barbados,YES,10,no,"stage ",Makati City,bnp,7
769,Candy,Destinee,Candy.Destinee@supinfo.com,montpellier,2016,"Tanzania, United Republic of",YES,7,"yes ","stage ",Abidjan,capgemini,3
770,Cindelyn,Sancho,Cindelyn.Sancho@supinfo.com,lyon,2018,Honduras,YES,8,no,contrat pro,Ahmedabad,expanscience,4
771,Berta,Kiyoshi,Berta.Kiyoshi@supinfo.com,toulouse,2019,Bangladesh,NO,2,"yes ","alternance ",Stepanakert,expanscience,1
772,Josephine,Edvard,Josephine.Edvard@supinfo.com,toulouse,2017,Estonia,YES,18,"yes ","alternance ",Minsk,javista,7
773,Nerta,Carvey,Nerta.Carvey@supinfo.com,lyon,2016,New Caledonia,YES,4,"yes ","alternance ",Shigatse,bouyges,4
774,Jessy,Liva,Jessy.Liva@supinfo.com,nantes,2017,Anguilla,YES,13,no,N/A,Guatemala City,orange,4
775,Ruthe,Guthrie,Ruthe.Guthrie@supinfo.com,toulouse,2020,"Palestinian Territory, Occupied",NO,8,"yes ","stage ",Vienna,expanscience,3
776,Katharina,Ashely,Katharina.Ashely@supinfo.com,lyon,2018,"Taiwan, Province of China",NO,14,no,N/A,Cartagena,capgemini,3
777,Anica,Jeanne,Anica.Jeanne@supinfo.com,montpellier,2018,Ethiopia,NO,3,"yes ","alternance ",Kaesong,societe generale,10
778,Shannah,Atonsah,Shannah.Atonsah@supinfo.com,nantes,2016,Comoros,YES,5,no,N/A,Samara,google,6
779,Oona,Old,Oona.Old@supinfo.com,lyon,2016,Swaziland,YES,15,no,N/A,Graz,cgi,3
780,Cristine,Crudden,Cristine.Crudden@supinfo.com,lyon,2018,Sweden,YES,14,no,N/A,Apia,bnp,4
781,Carly,Halsey,Carly.Halsey@supinfo.com,tours,2020,Zimbabwe,YES,9,"yes ","alternance ",Agartala,microsoft,6
782,Alameda,Lorain,Alameda.Lorain@supinfo.com,paris,2017,New Zealand,NO,12,no,"alternance ",Horta (Azores),bouyges,3
783,Benita,Boehike,Benita.Boehike@supinfo.com,tours,2018,Azerbaijan,NO,14,"yes ",contrat pro,Nizhny Novgorod,bnp,4
784,Feliza,Hirsch,Feliza.Hirsch@supinfo.com,toulouse,2020,Qatar,NO,13,no,N/A,Dresden,orange,5
785,Sabina,Garek,Sabina.Garek@supinfo.com,lille,2018,Paraguay,YES,10,no,N/A,Dublin,expanscience,10
786,Hayley,Stav,Hayley.Stav@supinfo.com,tours,2016,Sao Tome and Principe,YES,16,no,contrat pro,Lima,microsoft,3
787,Mireielle,Camden,Mireielle.Camden@supinfo.com,nantes,2018,Mali,NO,11,"yes ","stage ",Monterrey,cgi,3
788,Rosabelle,Jeanne,Rosabelle.Jeanne@supinfo.com,nantes,2020,Libyan Arab Jamahiriya,NO,18,no,"stage ",Abu Dhabi,capgemini,1
789,Theodora,Baptlsta,Theodora.Baptlsta@supinfo.com,toulouse,2021,French Polynesia,NO,12,"yes ",contrat pro,Nouméa,google,9
790,Roslyn,Raimondo,Roslyn.Raimondo@supinfo.com,nantes,2019,British Indian Ocean Territory,YES,18,no,"stage ",Nicosia,capgemini,3
791,Chloris,Bobbee,Chloris.Bobbee@supinfo.com,montpellier,2018,Turkmenistan,YES,7,no,contrat pro,Medina,societe generale,9
792,Agathe,Weaks,Agathe.Weaks@supinfo.com,toulouse,2017,South Africa,YES,10,no,"alternance ",Lucknow,cgi,7
793,Angela,Stephie,Angela.Stephie@supinfo.com,nantes,2020,Albania,NO,7,"yes ","stage ",Melekeok,expanscience,10
794,Alameda,Hortensia,Alameda.Hortensia@supinfo.com,tour,2020,Nepal,NO,5,no,"stage ",Malé,javista,10
795,Linzy,Egbert,Linzy.Egbert@supinfo.com,tours,2018,Thailand,NO,14,"yes ",contrat pro,Manama,total,4
796,Thalia,Ailyn,Thalia.Ailyn@supinfo.com,tour,2021,Cambodia,YES,8,"yes ","stage ",Palma,societe generale,6
797,Paola,Bethany,Paola.Bethany@supinfo.com,paris,2019,Algeria,YES,12,no,contrat pro,Majuro,capgemini,5
798,Merry,Zamora,Merry.Zamora@supinfo.com,nantes,2016,Cocos (Keeling) Islands,YES,5,no,contrat pro,Jinan,,1
799,Sabina,Margarete,Sabina.Margarete@supinfo.com,lyon,2020,Comoros,NO,12,no,N/A,Belize City,total,10
800,Johna,Magdalen,Johna.Magdalen@supinfo.com,paris,2016,Finland,NO,6,"yes ","stage ",Yogyakarta (city),bouyges,3
801,Susan,Elo,Susan.Elo@supinfo.com,lille,2016,Tajikistan,NO,5,"yes ","alternance ",Shigatse,cgi,4
802,Fawne,Adlare,Fawne.Adlare@supinfo.com,montpellier,2019,Gabon,YES,5,no,N/A,Murmansk,orange,7
803,Dianemarie,Sinegold,Dianemarie.Sinegold@supinfo.com,tour,2016,India,NO,15,"yes ",contrat pro,Campo Grande,ascenci,10
804,Rebeca,Gert,Rebeca.Gert@supinfo.com,lille,2017,India,NO,2,"yes ","stage ",Chaguanas,capgemini,7
805,Melina,Tyson,Melina.Tyson@supinfo.com,toulouse,2016,Trinidad and Tobago,NO,2,"yes ","alternance ",Mexicali,bnp,6
806,Aili,Candy,Aili.Candy@supinfo.com,lyon,2017,Cambodia,NO,17,"yes ",contrat pro,Novosibirsk,capgemini,2
807,Carree,Aprile,Carree.Aprile@supinfo.com,montpellier,2016,Namibia,YES,14,"yes ",N/A,Dammam,societe generale,5
808,Devina,Phi,Devina.Phi@supinfo.com,paris,2018,United Arab Emirates,YES,15,"yes ",contrat pro,Toulouse,google,5
809,Constance,Oster,Constance.Oster@supinfo.com,montpellier,2016,Estonia,YES,2,"yes ","alternance ",Stockholm,google,2
810,Marcelline,Ackerley,Marcelline.Ackerley@supinfo.com,tours,2019,Greenland,NO,17,no,"stage ",Roseau,expanscience,9
811,Madalyn,Chick,Madalyn.Chick@supinfo.com,montpellier,2020,Denmark,YES,13,"yes ",N/A,Prague,orange,1
812,Adriana,Secrest,Adriana.Secrest@supinfo.com,lyon,2017,"Virgin Islands, U.S.",NO,15,"yes ",contrat pro,Fukuoka,,8
813,Hallie,Gower,Hallie.Gower@supinfo.com,paris,2019,Portugal,NO,5,no,"stage ",Kano,cgi,1
814,Dianemarie,Zeeba,Dianemarie.Zeeba@supinfo.com,lyon,2021,Anguilla,NO,4,no,"alternance ",Malacca Town,javista,1
815,Alyssa,Wind,Alyssa.Wind@supinfo.com,lyon,2019,Brazil,NO,7,"yes ","stage ",Sarajevo,capgemini,10
816,Betta,Belldas,Betta.Belldas@supinfo.com,paris,2016,Montserrat,NO,18,"yes ","stage ",Tijuana,societe generale,2
817,Christy,Timon,Christy.Timon@supinfo.com,nantes,2018,Sao Tome and Principe,NO,6,no,N/A,Ürümqi,total,6
818,Gabriellia,Winthorpe,Gabriellia.Winthorpe@supinfo.com,tours,2017,Palau,YES,13,no,N/A,Yekaterinburg,expanscience,8
819,Cathie,Dosia,Cathie.Dosia@supinfo.com,lille,2017,Iceland,YES,11,"yes ","stage ",Auckland,bouyges,10
820,Marcelline,Goddard,Marcelline.Goddard@supinfo.com,toulouse,2017,Brazil,YES,18,no,N/A,Santa Cruz de Tenerife,oracle,9
821,Briney,Raul,Briney.Raul@supinfo.com,tour,2018,Greece,NO,4,"yes ",contrat pro,Gibraltar,orange,3
822,Annora,Bari,Annora.Bari@supinfo.com,tour,2017,Guinea-Bissau,NO,13,no,"alternance ",Patna,google,9
823,Edith,Rossner,Edith.Rossner@supinfo.com,tour,2020,Guernsey,YES,2,"yes ","stage ",Vaduz,,10
824,Cassondra,Poll,Cassondra.Poll@supinfo.com,montpellier,2020,Thailand,YES,3,"yes ",N/A,Saint John,total,6
825,Mireielle,Kalinda,Mireielle.Kalinda@supinfo.com,paris,2016,"Palestinian Territory, Occupied",NO,12,no,"stage ",Lusaka,microsoft,5
826,Sherrie,Meli,Sherrie.Meli@supinfo.com,nantes,2021,Costa Rica,YES,8,"yes ","stage ",Whitehorse,ascenci,5
827,Imojean,Linehan,Imojean.Linehan@supinfo.com,tour,2020,Brunei Darussalam,YES,11,no,N/A,Kharkiv,societe generale,10
828,Starla,Longfellow,Starla.Longfellow@supinfo.com,lyon,2019,Bahamas,YES,10,"yes ",contrat pro,Davao City,bouyges,3
829,Cathie,Seagraves,Cathie.Seagraves@supinfo.com,tour,2017,Aruba,NO,14,"yes ","alternance ",Dalian,total,5
830,Aurelie,Bashemeth,Aurelie.Bashemeth@supinfo.com,toulouse,2020,Antarctica,NO,13,no,N/A,Ambon,google,10
831,Nikki,Gabrielli,Nikki.Gabrielli@supinfo.com,tour,2021,Ghana,YES,15,no,contrat pro,Charlottetown,,8
832,Tersina,Brittani,Tersina.Brittani@supinfo.com,nantes,2016,Sudan,NO,16,"yes ",N/A,Taichung,bnp,4
833,Anthia,Erb,Anthia.Erb@supinfo.com,montpellier,2019,Chad,YES,15,"yes ",contrat pro,Durban,ascenci,5
834,Bee,Abbot,Bee.Abbot@supinfo.com,toulouse,2018,Guinea,YES,13,no,"stage ",Bandung,bouyges,4
835,Shauna,Darian,Shauna.Darian@supinfo.com,nantes,2021,Niger,NO,17,no,"stage ",San Juan,bnp,1
836,Starla,Clywd,Starla.Clywd@supinfo.com,lille,2021,Israel,YES,6,"yes ","stage ",Vitória,javista,10
837,Emylee,Susannah,Emylee.Susannah@supinfo.com,lyon,2016,Honduras,YES,9,"yes ",N/A,Handan,capgemini,8
838,Meriel,Thunell,Meriel.Thunell@supinfo.com,toulouse,2017,Austria,YES,7,no,"stage ",Rosario,cgi,2
839,Sharlene,Trinetta,Sharlene.Trinetta@supinfo.com,paris,2019,Monaco,NO,13,"yes ",contrat pro,Chicago,oracle,4
840,Ashlee,Bouchard,Ashlee.Bouchard@supinfo.com,lille,2017,Armenia,NO,8,"yes ",N/A,Chennai,cgi,1
841,Hannis,Sharl,Hannis.Sharl@supinfo.com,montpellier,2018,"Virgin Islands, U.S.",NO,9,"yes ",contrat pro,Anadyr (town),bnp,6
842,Jerry,Havens,Jerry.Havens@supinfo.com,montpellier,2021,"Iran, Islamic Republic Of",YES,13,no,"stage ",Kuala Lumpur,total,10
843,Jacquetta,Palocz,Jacquetta.Palocz@supinfo.com,lille,2016,Guinea-Bissau,YES,15,"yes ",contrat pro,Zagreb,javista,9
844,Isa,Etom,Isa.Etom@supinfo.com,lyon,2017,Cameroon,YES,14,no,contrat pro,Split (city),cgi,8
845,Kelly,Hanleigh,Kelly.Hanleigh@supinfo.com,toulouse,2020,Marshall Islands,NO,18,no,contrat pro,Davao City,javista,1
846,Quintina,Baudin,Quintina.Baudin@supinfo.com,montpellier,2017,Saint Helena,YES,12,"yes ","alternance ",Alor Star,ascenci,2
847,Jessy,Dorothy,Jessy.Dorothy@supinfo.com,tours,2021,Russian Federation,NO,11,"yes ","stage ",Kingstown,oracle,9
848,Barbi,Lubin,Barbi.Lubin@supinfo.com,tour,2019,Algeria,NO,5,no,"alternance ",Port Said,google,9
849,Marleah,Rosette,Marleah.Rosette@supinfo.com,montpellier,2017,French Guiana,NO,18,no,N/A,Memphis,ascenci,9
850,Cassandra,Aloise,Cassandra.Aloise@supinfo.com,nantes,2020,Togo,NO,17,"yes ","alternance ",Nanjing,google,6
851,Corene,Waite,Corene.Waite@supinfo.com,toulouse,2017,Timor-Leste,YES,12,no,N/A,Vienna,societe generale,3
852,Gusty,Stilwell,Gusty.Stilwell@supinfo.com,toulouse,2020,Switzerland,NO,8,no,"alternance ",Palembang,bnp,5
853,Dorice,Fadiman,Dorice.Fadiman@supinfo.com,nantes,2018,Antigua and Barbuda,YES,13,"yes ","stage ",Francistown,societe generale,10
854,Courtnay,Hanshaw,Courtnay.Hanshaw@supinfo.com,lyon,2018,New Zealand,NO,13,no,N/A,Adak,expanscience,7
855,Cassandra,Bebe,Cassandra.Bebe@supinfo.com,toulouse,2021,Uruguay,YES,10,"yes ","alternance ",Multan,google,6
856,Robinia,Gusella,Robinia.Gusella@supinfo.com,paris,2016,Colombia,YES,16,"yes ",contrat pro,Mbabane,microsoft,1
857,Mildrid,Liebermann,Mildrid.Liebermann@supinfo.com,lyon,2020,Panama,NO,13,no,"alternance ",Pretoria,google,4
858,Alameda,Weide,Alameda.Weide@supinfo.com,tour,2019,Guinea-Bissau,YES,3,"yes ","stage ",Taichung,bnp,4
859,Kary,Therine,Kary.Therine@supinfo.com,nantes,2021,"Korea, Republic of",NO,11,"yes ",N/A,Belém,bnp,8
860,Lanna,Seumas,Lanna.Seumas@supinfo.com,tours,2021,United States Minor Outlying Islands,NO,4,no,N/A,Samara,microsoft,6
861,Romona,Oster,Romona.Oster@supinfo.com,nantes,2018,Mali,YES,17,no,contrat pro,Asunción,expanscience,1
862,Arlina,Cleavland,Arlina.Cleavland@supinfo.com,lyon,2017,French Southern Territories,YES,3,no,N/A,Wollongong,,5
863,Arlina,Kathie,Arlina.Kathie@supinfo.com,tour,2021,Western Sahara,YES,18,"yes ","alternance ",Madrid,societe generale,9
864,Rhoda,Knowling,Rhoda.Knowling@supinfo.com,lille,2018,Dominica,YES,15,no,N/A,Charlotte,bnp,2
865,Kenna,Gamaliel,Kenna.Gamaliel@supinfo.com,lyon,2017,Guadeloupe,YES,11,"yes ",N/A,Edinburgh,microsoft,7
866,Georgina,Ailyn,Georgina.Ailyn@supinfo.com,toulouse,2016,Morocco,NO,4,"yes ","alternance ",Abuja,societe generale,6
867,Quintina,Torray,Quintina.Torray@supinfo.com,toulouse,2019,Armenia,NO,6,no,"stage ",Moscow,bouyges,7
868,Deane,Jehu,Deane.Jehu@supinfo.com,tour,2019,Morocco,NO,7,"yes ",N/A,Lanzhou,societe generale,8
869,Jinny,Diogenes,Jinny.Diogenes@supinfo.com,tours,2018,Myanmar,NO,15,"yes ",N/A,Funafuti,oracle,8
870,Katharina,Hanshaw,Katharina.Hanshaw@supinfo.com,montpellier,2019,Mongolia,NO,8,no,"stage ",Chittagong,,10
871,Barbi,Rona,Barbi.Rona@supinfo.com,montpellier,2017,Wallis and Futuna,YES,16,"yes ",contrat pro,San José,bouyges,2
872,Zsa Zsa,Mendez,Zsa Zsa.Mendez@supinfo.com,montpellier,2020,Costa Rica,YES,4,"yes ",contrat pro,Caracas,total,4
873,Janeczka,Whittaker,Janeczka.Whittaker@supinfo.com,paris,2021,Guadeloupe,YES,15,no,"alternance ",Bamako,google,10
874,Norine,Kiersten,Norine.Kiersten@supinfo.com,lyon,2018,Eritrea,YES,3,no,contrat pro,Berlin,,6
875,Ileana,Luhe,Ileana.Luhe@supinfo.com,montpellier,2018,France,NO,2,no,"stage ",Gaza,microsoft,3
876,Drucie,Aprile,Drucie.Aprile@supinfo.com,montpellier,2021,Kuwait,NO,12,"yes ","alternance ",Bergen,,4
877,Sallie,Dorcy,Sallie.Dorcy@supinfo.com,lyon,2017,Lithuania,NO,10,no,N/A,San Juan,bouyges,6
878,Merry,Stav,Merry.Stav@supinfo.com,paris,2018,Bahamas,NO,15,"yes ",contrat pro,Brussels,total,5
879,Dacia,Buffum,Dacia.Buffum@supinfo.com,lille,2018,Jamaica,NO,13,no,"alternance ",Tegucigalpa,bouyges,10
880,Violet,Colleen,Violet.Colleen@supinfo.com,lyon,2016,Papua New Guinea,NO,10,no,"stage ",Bern,microsoft,1
881,Lynde,Weaks,Lynde.Weaks@supinfo.com,lyon,2016,Jersey,NO,14,"yes ",contrat pro,Changchun,oracle,5
882,Celestyna,Girardo,Celestyna.Girardo@supinfo.com,toulouse,2017,Western Sahara,YES,14,"yes ",N/A,The Valley,expanscience,9
883,Dotty,Mitzi,Dotty.Mitzi@supinfo.com,lille,2018,Saint Pierre and Miquelon,NO,8,no,N/A,Providence,oracle,6
884,Gusella,Shuler,Gusella.Shuler@supinfo.com,tour,2021,Argentina,NO,18,"yes ","alternance ",Ashgabat,bnp,6
885,Emmey,Winthorpe,Emmey.Winthorpe@supinfo.com,montpellier,2017,El Salvador,NO,4,"yes ",N/A,Denpasar,bnp,5
886,Marline,Hepsibah,Marline.Hepsibah@supinfo.com,toulouse,2018,Haiti,NO,5,"yes ","alternance ",Kandahar,bnp,1
887,Charlena,Jenness,Charlena.Jenness@supinfo.com,lyon,2019,Namibia,NO,2,"yes ","alternance ",Havana,microsoft,7
888,Nollie,Ingra,Nollie.Ingra@supinfo.com,paris,2018,Greece,YES,8,no,"alternance ",Lagos,bnp,9
889,Xylina,Irmine,Xylina.Irmine@supinfo.com,tour,2020,Spain,YES,17,"yes ","alternance ",Jamestown,ascenci,8
890,Glenda,Kosey,Glenda.Kosey@supinfo.com,paris,2021,Åland Islands,YES,15,"yes ",N/A,São Tomé,microsoft,2
891,Karlee,Tremayne,Karlee.Tremayne@supinfo.com,nantes,2018,Slovenia,YES,14,no,"stage ",Taipei,ascenci,7
892,Ann-Marie,Mandler,Ann-Marie.Mandler@supinfo.com,paris,2018,Mauritania,NO,11,"yes ",N/A,Tallinn,,9
893,Gilligan,Joachim,Gilligan.Joachim@supinfo.com,lille,2016,Hungary,YES,18,no,N/A,Norilsk,expanscience,2
894,Mignon,Dulciana,Mignon.Dulciana@supinfo.com,nantes,2017,Peru,NO,3,"yes ","stage ",Pago Pago,google,7
895,Ruthe,Woodberry,Ruthe.Woodberry@supinfo.com,tour,2016,Bangladesh,NO,2,no,"stage ",Brasília,bnp,7
896,Helena,Nicoline,Helena.Nicoline@supinfo.com,toulouse,2018,Gabon,NO,11,no,"alternance ",Rabat,cgi,5
897,Alexine,Zachary,Alexine.Zachary@supinfo.com,lille,2021,Sao Tome and Principe,YES,12,no,"stage ",Bogotá,orange,8
898,Daune,Faust,Daune.Faust@supinfo.com,paris,2021,Aruba,YES,5,"yes ","alternance ",Houston,capgemini,9
899,Jillayne,Diann,Jillayne.Diann@supinfo.com,lille,2019,"Congo, The Democratic Republic of the",YES,10,"yes ","stage ",Alofi,javista,3
900,Myrtice,Borrell,Myrtice.Borrell@supinfo.com,montpellier,2018,Vanuatu,NO,11,no,"stage ",Xi'an,javista,1
901,Sandie,Lunsford,Sandie.Lunsford@supinfo.com,nantes,2018,"Korea, Democratic People""S Republic of",YES,18,no,contrat pro,Riyadh,orange,6
902,Bernie,Seagraves,Bernie.Seagraves@supinfo.com,paris,2018,Burundi,NO,7,no,"alternance ",Christchurch,javista,7
903,Dale,Dreda,Dale.Dreda@supinfo.com,tour,2016,French Guiana,YES,8,"yes ",contrat pro,Bucharest,societe generale,5
904,Shirlee,Fadiman,Shirlee.Fadiman@supinfo.com,lille,2020,Thailand,YES,15,no,N/A,Istanbul,capgemini,5
905,Jacquetta,Jammal,Jacquetta.Jammal@supinfo.com,toulouse,2017,Tonga,NO,12,no,"alternance ",Malabo,cgi,3
906,Allis,Weitman,Allis.Weitman@supinfo.com,toulouse,2017,Botswana,NO,18,no,contrat pro,New York City,google,9
907,Jacquetta,Bennie,Jacquetta.Bennie@supinfo.com,lille,2016,Libyan Arab Jamahiriya,NO,12,"yes ","alternance ",Douala,javista,7
908,Shauna,Timon,Shauna.Timon@supinfo.com,lyon,2016,Dominican Republic,YES,7,"yes ","alternance ",Palma,bouyges,10
909,Kial,Dichy,Kial.Dichy@supinfo.com,nantes,2017,Switzerland,YES,10,no,N/A,Mexico City,javista,1
910,Sherrie,Byrne,Sherrie.Byrne@supinfo.com,nantes,2016,Albania,YES,2,"yes ","stage ",Copenhagen,expanscience,10
911,Ruthe,Erich,Ruthe.Erich@supinfo.com,paris,2019,Chile,YES,2,no,"stage ",Khartoum,oracle,6
912,Vonny,Lattie,Vonny.Lattie@supinfo.com,tours,2021,Thailand,YES,8,no,contrat pro,Iquique,orange,6
913,Hannis,Allina,Hannis.Allina@supinfo.com,tour,2020,Marshall Islands,NO,14,no,"alternance ",London,ascenci,8
